# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2060
#@/user_id	fcec34f3-dfd0-45c0-8899-0d6cff196569
hao de 	好的	c=6 d=1.75461 t=1524
hao duo ren 	好多人	c=1 d=1 t=1434
hao e 	好餓	c=2 d=1.98511 t=274
hao ji tian 	好幾天	c=2 d=1.92774 t=1085
hao jiu 	好久	c=1 d=1 t=1069
hao kan 	好看	c=2 d=1.76741 t=1354
hao ma 	好嘛	c=1 d=1 t=448
hao qi lai 	好起來	c=0 d=0.1 t=957
hao yong 	好用	c=1 d=1 t=61
he 	和	c=4 d=1.06651 t=2001
he 	喝	c=8 d=1.87837 t=1455
he dian 	喝點	c=1 d=1 t=1027
he jiu 	喝酒	c=1 d=0.965022 t=1039
hen 	很	c=6 d=1.14719 t=1982
hen da 	很大	c=1 d=1 t=1629
hen duo 	很多	c=3 d=1.03019 t=1575
hen nan 	很難	c=1 d=1 t=464
hen rong yi 	很容易	c=2 d=1.99005 t=741
hen shao 	很少	c=1 d=1 t=472
heng 	哼	c=1 d=1 t=1410
hong 	哄	c=1 d=1 t=742
hou 	後	c=1 d=1 t=1319
hu 	胡	c=1 d=1 t=444
hua 	話	c=2 d=1.87372 t=1608
huai 	壞	c=1 d=1.00937 t=1912
huai li 	懷裏	c=1 d=1 t=2041
huai shi 	壞事	c=1 d=1 t=1407
huai xue zhang 	壞學長	c=1 d=1 t=1913
huan 	換	c=1 d=1 t=524
huan jing 	環境	c=1 d=1 t=1596
huan xiang 	幻想	c=1 d=1 t=2009
huang hou 	皇后	c=2 d=1.93239 t=1430
hui 	會	c=10 d=2.44083 t=1861
hui hao 	會好	c=1 d=1 t=1574
hui hao qi lai 	會好起來	c=1 d=1 t=958
hui lai 	回來	c=2 d=1.04929 t=1003
hui you 	會有	c=1 d=1 t=895
huo de 	獲得	c=1 d=1 t=609
ji 	擠	c=1 d=1 t=1942
ji 	集	c=2 d=1.96561 t=184
ji bing 	疾病	c=1 d=1 t=946
ji gou 	機構	c=1 d=1.09802 t=504
ji qi 	機器	c=1 d=1 t=1739
ji shu 	技術	c=1 d=1 t=715
ji suan ji 	計算機	c=4 d=1.02001 t=2055
ji xu 	繼續	c=1 d=1 t=956
jia 	家	c=1 d=1 t=1113
jia li 	家裏	c=1 d=1 t=962
jia xiao zuo 	甲硝唑	c=1 d=1 t=1920
jian hua zi 	簡化字	c=1 d=1 t=16
jian pan 	鍵盤	c=1 d=1 t=261
jian ti 	簡體	c=3 d=2.87423 t=1482
jian ti zi 	簡體字	c=1 d=1 t=18
